time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,D4calc,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638568208.0995843,60.87114238179001,60.87239670795881,0,kth,0,229.8167456738312,23629.0,9.0,4369.0,0.0,18197.0,0.1,0.24009452107490245,7.1000000000000005,7.1000000000000005,0,tth,0,-7.1000000000000005
1638568209.2505424,60.918142381790005,60.922396707958825,0,kth,0,229.7667456738312,23422.0,9.0,3807.0,0.0,18215.0,0.1,0.20900356848751028,7.2,7.2,0,tth,0,-7.2
1638568210.4162061,60.97214238179001,60.97239670795881,0,kth,0,229.7167456738312,22964.0,9.0,3384.0,0.0,18205.0,0.1,0.18588299917605053,7.3,7.300000000000001,0,tth,0,-7.300000000000001
1638568211.5795362,61.025142381790005,61.02239670795882,0,kth,0,229.6667456738312,22835.0,10.0,2981.0,0.0,18219.0,0.1,0.1636203962895878,7.4,7.4,0,tth,0,-7.4
1638568212.7261956,61.07314238179001,61.07239670795883,0,kth,0,229.6167456738312,22320.0,10.0,2558.0,0.0,18222.0,0.1,0.14037976072878938,7.5,7.5,0,tth,0,-7.5
1638568213.9034576,61.12714238179001,61.12239670795881,0,kth,0,229.5667456738312,21951.0,9.0,2304.0,0.0,18203.0,0.1,0.12657254298741966,7.6000000000000005,7.6000000000000005,0,tth,0,-7.6000000000000005
1638568215.3397224,61.168142381790005,61.172396707958825,0,kth,0,229.5167456738312,21542.0,10.0,1858.0,0.0,18220.0,0.1,0.10197585071350165,7.7,7.7,0,tth,0,-7.7
1638568217.4320261,61.22714238179,61.22239670795881,0,kth,0,229.4667456738312,20990.0,10.0,1775.0,0.0,18205.0,0.1,0.09750068662455369,7.8,7.800000000000001,0,tth,0,-7.800000000000001
1638568219.2959702,61.26814238179003,61.27239670795882,0,kth,0,229.4167456738312,20602.0,10.0,1409.0,0.0,18185.0,0.1,0.07748144074786913,7.9,7.9,0,tth,0,-7.9
1638568220.4862096,61.32014238179002,61.32239670795883,0,kth,0,229.3667456738312,20241.0,9.0,1375.0,0.0,18221.0,0.1,0.07546237857417266,8.0,8.0,0,tth,0,-8.0
1638568221.918249,61.36914238179003,61.37239670795881,0,kth,0,229.3167456738312,19929.0,10.0,1151.0,0.0,18219.0,0.1,0.0631758054777979,8.1,8.100000000000001,0,tth,0,-8.100000000000001
1638568223.088747,61.424142381790006,61.422396707958825,0,kth,0,229.2667456738312,19571.0,10.0,1241.0,0.0,18205.0,0.1,0.0681680856907443,8.2,8.2,0,tth,0,-8.2
1638568224.236546,61.46914238179002,61.47239670795881,0,kth,0,229.2167456738312,19225.0,10.0,1022.0,0.0,18197.0,0.1,0.056163103808320056,8.3,8.3,0,tth,0,-8.3
