time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638655134.9849184,0.11521681649920677,60.87214238179001,60.87239670795881,0,kth,0,229.8167456738312,5054.0,10.0,1743.0,0.0,15128.0,0.1,7.1000000000000005,7.1000000000000005,0,tth,0,-7.1000000000000005,4150.139,4148.583333333333,0,x,0,4148.583333333333
1638655136.6084146,0.08705445872532132,60.922142381790025,60.922396707958825,0,kth,0,229.7667456738312,4932.0,9.0,1314.0,0.0,15094.0,0.1,7.2,7.2,0,tth,0,-7.2,4146.189,4143.555555555556,0,x,0,4143.555555555556
1638655137.8121405,0.0982402752050807,60.97314238179001,60.97239670795881,0,kth,0,229.7167456738312,4853.0,10.0,1485.0,0.0,15116.0,0.1,7.3,7.300000000000001,0,tth,0,-7.300000000000001,4138.476,4138.527777777777,0,x,0,4138.527777777777
1638655139.0072396,0.09651793989143387,61.01814238179003,61.02239670795882,0,kth,0,229.6667456738312,4833.0,9.0,1458.0,0.0,15106.0,0.1,7.4,7.4,0,tth,0,-7.4,4133.527,4133.5,0,x,0,4133.5
1638655140.2017076,0.17485577879450964,61.075142381790016,61.07239670795883,0,kth,0,229.6167456738312,4985.0,10.0,2637.0,0.0,15081.0,0.1,7.5,7.5,0,tth,0,-7.5,4128.642,4128.472222222223,0,x,0,4128.472222222223
1638655142.9439895,0.15126217451798848,61.12214238179001,61.12239670795881,0,kth,0,229.5667456738312,4936.0,9.0,2283.0,0.0,15093.0,0.1,7.6000000000000005,7.6000000000000005,0,tth,0,-7.6000000000000005,4125.755,4123.444444444444,0,x,0,4123.444444444444
1638655144.1525793,0.16881145647726523,61.174142381790006,61.172396707958825,0,kth,0,229.5167456738312,5037.0,9.0,2558.0,0.0,15153.0,0.1,7.7,7.7,0,tth,0,-7.7,4118.43,4118.416666666667,0,x,0,4118.416666666667
1638655145.5108757,0.17571589180609748,61.22814238179001,61.22239670795881,0,kth,0,229.4667456738312,5051.0,10.0,2657.0,0.0,15121.0,0.1,7.8,7.800000000000001,0,tth,0,-7.800000000000001,4113.405,4113.388888888889,0,x,0,4113.388888888889
1638655146.6855786,0.09973562458691342,61.27214238179002,61.27239670795882,0,kth,0,229.4167456738312,4963.0,10.0,1509.0,0.0,15130.0,0.1,7.9,7.9,0,tth,0,-7.9,4108.247,4108.361111111111,0,x,0,4108.361111111111
1638655147.9824717,0.12110795266741588,61.321142381790025,61.32239670795883,0,kth,0,229.3667456738312,4881.0,9.0,1832.0,0.0,15127.0,0.1,8.0,8.0,0,tth,0,-8.0,4103.354,4103.333333333333,0,x,0,4103.333333333333
