time,kappa_motors_m4,kappa_motors_m4_user_setpoint,kappa_motors_m4_sync,kappa_motors_m4_desc,kappa_motors_m4_homf,kappa_motors_m4_dval,D3,scaler_time
1638589551.695722,549.996,550.0,0,z,0,550.0,16506.0,0.1
1638589551.941744,560.001,560.0,0,z,0,560.0,16739.0,0.1
1638589552.1839757,569.9830000000001,570.0,0,z,0,570.0,16994.0,0.1
1638589552.4291682,579.996,580.0,0,z,0,580.0,17250.0,0.1
1638589552.6800754,589.997,590.0,0,z,0,590.0,17606.0,0.1
1638589552.930198,599.997,600.0,0,z,0,600.0,17900.0,0.1
1638589553.1807137,609.986,610.0,0,z,0,610.0,18146.0,0.1
1638589553.428983,619.967,620.0,0,z,0,620.0,18382.0,0.1
1638589553.730627,629.993,630.0,0,z,0,630.0,18598.0,0.1
1638589554.025244,639.998,640.0,0,z,0,640.0,18762.0,0.1
1638589554.3256917,649.998,650.0,0,z,0,650.0,18894.0,0.1
1638589554.6283042,660.003,660.0,0,z,0,660.0,19160.0,0.1
1638589554.9235039,669.994,670.0,0,z,0,670.0,19427.0,0.1
1638589555.2204378,679.985,680.0,0,z,0,680.0,19649.0,0.1
1638589555.519325,689.993,690.0,0,z,0,690.0,19831.0,0.1
1638589555.7703376,699.981,700.0,0,z,0,700.0,19924.0,0.1
1638589556.0678103,710.006,710.0,0,z,0,710.0,20047.0,0.1
1638589556.3136802,719.991,720.0,0,z,0,720.0,20165.0,0.1
1638589556.5538847,730.003,730.0,0,z,0,730.0,20239.0,0.1
1638589556.7983358,739.995,740.0,0,z,0,740.0,20378.0,0.1
1638589557.0582025,749.993,750.0,0,z,0,750.0,20554.0,0.1
1638589557.301678,759.989,760.0,0,z,0,760.0,20678.0,0.1
1638589557.543969,769.985,770.0,0,z,0,770.0,20720.0,0.1
1638589557.84309,779.996,780.0,0,z,0,780.0,20795.0,0.1
1638589558.1463416,789.998,790.0,0,z,0,790.0,20841.0,0.1
1638589558.4488766,799.994,800.0,0,z,0,800.0,20887.0,0.1
1638589558.700351,810.004,810.0,0,z,0,810.0,20949.0,0.1
1638589558.9421818,819.993,820.0,0,z,0,820.0,21033.0,0.1
1638589559.186785,829.996,830.0,0,z,0,830.0,21107.0,0.1
1638589559.4312024,840.005,840.0,0,z,0,840.0,21161.0,0.1
1638589559.675348,849.993,850.0,0,z,0,850.0,21169.0,0.1
1638589559.9817765,860.01,860.0,0,z,0,860.0,21202.0,0.1
1638589560.288121,869.999,870.0,0,z,0,870.0,21265.0,0.1
1638589560.5827122,880.005,880.0,0,z,0,880.0,21296.0,0.1
1638589560.8820937,889.996,890.0,0,z,0,890.0,21255.0,0.1
1638589561.125902,899.975,900.0,0,z,0,900.0,21296.0,0.1
1638589561.4258482,910.001,910.0,0,z,0,910.0,21334.0,0.1
1638589561.6790493,919.999,920.0,0,z,0,920.0,21343.0,0.1
1638589561.923938,929.998,930.0,0,z,0,930.0,21353.0,0.1
1638589562.168877,939.9970000000001,940.0,0,z,0,940.0,21375.0,0.1
1638589562.4673154,950.0020000000001,950.0,0,z,0,950.0,21389.0,0.1
1638589562.7215235,959.996,960.0,0,z,0,960.0,21369.0,0.1
1638589563.0173826,969.985,970.0,0,z,0,970.0,21401.0,0.1
1638589563.317895,979.993,980.0,0,z,0,980.0,21427.0,0.1
