time,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638564821.5317643,22197.0,10.0,468.0,0.0,20682.0,0.1,61.36914238179003,61.37239670795881,0,kth,0,229.3167456738312,8.1,8.100000000000001,0,tth,0,-8.100000000000001
1638564822.5303404,21915.0,10.0,437.0,0.0,20676.0,0.1,61.418142381790005,61.422396707958825,0,kth,0,229.2667456738312,8.2,8.2,0,tth,0,-8.2
1638564823.5868518,21745.0,10.0,407.0,0.0,20669.0,0.1,61.47214238179001,61.47239670795881,0,kth,0,229.2167456738312,8.3,8.3,0,tth,0,-8.3
1638564824.5727184,21491.0,9.0,379.0,0.0,20680.0,0.1,61.52414238179003,61.52239670795882,0,kth,0,229.1667456738312,8.4,8.4,0,tth,0,-8.4
1638564825.5652485,21183.0,10.0,343.0,0.0,20676.0,0.1,61.569142381790016,61.57239670795883,0,kth,0,229.1167456738312,8.5,8.5,0,tth,0,-8.5
1638564826.573623,20970.0,10.0,332.0,0.0,20684.0,0.1,61.62714238179001,61.62239670795881,0,kth,0,229.0667456738312,8.6,8.600000000000001,0,tth,0,-8.600000000000001
1638564827.6403604,20788.0,10.0,298.0,0.0,20672.0,0.1,61.668142381790005,61.672396707958825,0,kth,0,229.0167456738312,8.700000000000001,8.7,0,tth,0,-8.7
1638564829.796325,20537.0,10.0,288.0,0.0,20636.0,0.1,61.72714238179,61.72239670795881,0,kth,0,228.9667456738312,8.8,8.8,0,tth,0,-8.8
1638564831.0769649,20395.0,10.0,266.0,0.0,20652.0,0.1,61.76814238179003,61.77239670795882,0,kth,0,228.9167456738312,8.9,8.9,0,tth,0,-8.9
1638564832.4850101,20114.0,10.0,259.0,0.0,20664.0,0.1,61.827142381790026,61.82239670795883,0,kth,0,228.8667456738312,9.0,9.0,0,tth,0,-9.0
1638564833.499934,19844.0,10.0,249.0,0.0,20663.0,0.1,61.870142381790004,61.87239670795881,0,kth,0,228.8167456738312,9.1,9.100000000000001,0,tth,0,-9.100000000000001
1638564834.6725438,19650.0,10.0,238.0,0.0,20660.0,0.1,61.92714238179002,61.922396707958825,0,kth,0,228.7667456738312,9.200000000000001,9.2,0,tth,0,-9.2
1638564835.983614,19497.0,10.0,225.0,0.0,20660.0,0.1,61.970142381790026,61.97239670795881,0,kth,0,228.7167456738312,9.3,9.3,0,tth,0,-9.3
1638564836.9942033,19238.0,9.0,223.0,0.0,20648.0,0.1,62.027142381790014,62.02239670795882,0,kth,0,228.6667456738312,9.4,9.4,0,tth,0,-9.4
1638564838.0068378,19050.0,10.0,213.0,0.0,20652.0,0.1,62.071142381790025,62.07239670795883,0,kth,0,228.6167456738312,9.5,9.5,0,tth,0,-9.5
1638564839.7273464,18876.0,10.0,201.0,0.0,20650.0,0.1,62.11914238179003,62.12239670795881,0,kth,0,228.5667456738312,9.6,9.600000000000001,0,tth,0,-9.600000000000001
