time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval
1638656961.2202466,0.00996831264853446,62.42114238179002,62.422396707958825,0,kth,0,228.2667456738312,5165.0,9.0,151.0,0.0,15148.0,0.1,10.200000000000001,10.200000000000001,0,tth,0,-10.200000000000001,387.699,387.72222222222223,0,x,0,387.72222222222223
1638656962.4263618,0.0097877124528801,62.47314238179001,62.47239670795881,0,kth,0,228.2167456738312,5107.0,9.0,148.0,0.0,15121.0,0.1,10.3,10.3,0,tth,0,-10.3,382.731,382.69444444444446,0,x,0,382.69444444444446
1638656963.6281195,0.00978318350079323,62.523142381790024,62.52239670795882,0,kth,0,228.1667456738312,5117.0,9.0,148.0,0.0,15128.0,0.1,10.4,10.4,0,tth,0,-10.4,377.648,377.6666666666667,0,x,0,377.6666666666667
1638656964.8354611,0.008327275130526734,62.57014238179002,62.57239670795883,0,kth,0,228.1167456738312,5042.0,9.0,126.0,0.0,15131.0,0.1,10.5,10.5,0,tth,0,-10.5,372.625,372.6388888888889,0,x,0,372.6388888888889
1638656966.168834,0.008203228367292934,62.626142381790004,62.62239670795881,0,kth,0,228.0667456738312,4966.0,9.0,124.0,0.0,15116.0,0.1,10.6,10.6,0,tth,0,-10.6,367.61,367.61111111111114,0,x,0,367.61111111111114
1638656967.3568633,0.007732980832782551,62.67714238179002,62.672396707958825,0,kth,0,228.0167456738312,4886.0,9.0,117.0,0.0,15130.0,0.1,10.700000000000001,10.700000000000001,0,tth,0,-10.700000000000001,362.682,362.5833333333333,0,x,0,362.5833333333333
1638656968.518122,0.0064127991537749575,62.71914238179002,62.72239670795881,0,kth,0,227.9667456738312,5041.0,8.0,97.0,0.0,15126.0,0.1,10.8,10.8,0,tth,0,-10.8,357.555,357.55555555555554,0,x,0,357.55555555555554
1638656969.7014656,0.0072132883330024485,62.775142381790005,62.77239670795882,0,kth,0,227.9167456738312,4909.0,9.0,109.0,0.0,15111.0,0.1,10.9,10.9,0,tth,0,-10.9,352.498,352.52777777777777,0,x,0,352.52777777777777
1638656970.849858,0.006279746166049709,62.821142381790025,62.82239670795883,0,kth,0,227.8667456738312,4887.0,9.0,95.0,0.0,15128.0,0.1,11.0,11.0,0,tth,0,-11.0,347.613,347.5,0,x,0,347.5
1638656972.0814707,0.0070706403224740635,62.87414238179002,62.87239670795881,0,kth,0,227.8167456738312,4938.0,8.0,107.0,0.0,15133.0,0.1,11.1,11.1,0,tth,0,-11.1,342.484,342.47222222222223,0,x,0,342.47222222222223
1638656973.2741644,0.006349206349206349,62.92114238179002,62.922396707958825,0,kth,0,227.7667456738312,4950.0,9.0,96.0,0.0,15120.0,0.1,11.200000000000001,11.200000000000001,0,tth,0,-11.200000000000001,337.40000000000003,337.44444444444446,0,x,0,337.44444444444446
1638656974.4928322,0.005880798202722347,62.96814238179002,62.97239670795881,0,kth,0,227.7167456738312,4987.0,8.0,89.0,0.0,15134.0,0.1,11.3,11.3,0,tth,0,-11.3,332.443,332.4166666666667,0,x,0,332.4166666666667
1638656975.7609854,0.00752375923970433,63.02614238179001,63.02239670795882,0,kth,0,227.6667456738312,4822.0,9.0,114.0,0.0,15152.0,0.1,11.4,11.4,0,tth,0,-11.4,327.363,327.3888888888889,0,x,0,327.3888888888889
1638656976.9458518,0.006090295246921753,63.069142381790016,63.07239670795883,0,kth,0,227.6167456738312,4989.0,8.0,92.0,0.0,15106.0,0.1,11.5,11.5,0,tth,0,-11.5,322.387,322.36111111111114,0,x,0,322.36111111111114
1638656978.4257386,0.0056209496098399685,63.11814238179002,63.12239670795881,0,kth,0,227.5667456738312,4840.0,10.0,85.0,0.0,15122.0,0.1,11.6,11.600000000000001,0,tth,0,-11.600000000000001,317.39,317.33333333333337,0,x,0,317.33333333333337
1638656979.645509,0.005820875777219209,63.17114238179002,63.172396707958825,0,kth,0,227.5167456738312,4922.0,10.0,88.0,0.0,15118.0,0.1,11.700000000000001,11.700000000000001,0,tth,0,-11.700000000000001,312.296,312.30555555555554,0,x,0,312.30555555555554
1638656980.8396337,0.00622640259654236,63.22414238179002,63.22239670795881,0,kth,0,227.4667456738312,4878.0,9.0,94.0,0.0,15097.0,0.1,11.8,11.8,0,tth,0,-11.8,307.338,307.27777777777777,0,x,0,307.27777777777777
1638656982.0185583,0.005826656955571741,63.273142381790024,63.27239670795882,0,kth,0,227.4167456738312,4909.0,9.0,88.0,0.0,15103.0,0.1,11.9,11.9,0,tth,0,-11.9,302.308,302.25,0,x,0,302.25
1638656983.180752,0.005229017738946254,63.32214238179,63.32239670795883,0,kth,0,227.3667456738312,4924.0,9.0,79.0,0.0,15108.0,0.1,12.0,12.0,0,tth,0,-12.0,297.208,297.22222222222223,0,x,0,297.22222222222223
1638656984.5001917,0.005228671652657357,63.37714238179001,63.37239670795881,0,kth,0,227.3167456738312,4908.0,8.0,79.0,0.0,15109.0,0.1,12.1,12.100000000000001,0,tth,0,-12.100000000000001,292.274,292.19444444444446,0,x,0,292.19444444444446
1638656985.6568415,0.004961630060862662,63.42714238179002,63.422396707958825,0,kth,0,227.2667456738312,4746.0,10.0,75.0,0.0,15116.0,0.1,12.200000000000001,12.200000000000001,0,tth,0,-12.200000000000001,287.149,287.16666666666663,0,x,0,287.16666666666663
1638656986.8750901,0.004106504172738111,63.47114238179,63.47239670795881,0,kth,0,227.2167456738312,4776.0,8.0,62.0,0.0,15098.0,0.1,12.3,12.3,0,tth,0,-12.3,282.24,282.1388888888889,0,x,0,282.1388888888889
1638656988.072219,0.0041699761715647335,63.523142381790024,63.52239670795882,0,kth,0,227.1667456738312,4784.0,9.0,63.0,0.0,15108.0,0.1,12.4,12.4,0,tth,0,-12.4,277.104,277.1111111111111,0,x,0,277.1111111111111
1638656989.3069983,0.0036433492315845256,63.571142381790025,63.57239670795883,0,kth,0,227.1167456738312,4814.0,9.0,55.0,0.0,15096.0,0.1,12.5,12.5,0,tth,0,-12.5,272.081,272.08333333333337,0,x,0,272.08333333333337
1638656990.4888804,0.003640696365923082,63.62214238179001,63.62239670795881,0,kth,0,227.0667456738312,4822.0,8.0,55.0,0.0,15107.0,0.1,12.6,12.600000000000001,0,tth,0,-12.600000000000001,267.07,267.05555555555554,0,x,0,267.05555555555554
1638656991.68515,0.003840042372881356,63.674142381790006,63.672396707958825,0,kth,0,227.0167456738312,4815.0,10.0,58.0,0.0,15104.0,0.1,12.700000000000001,12.700000000000001,0,tth,0,-12.700000000000001,262.009,262.0277777777778,0,x,0,262.0277777777778
1638656992.88905,0.003640455387873974,63.72114238179,63.72239670795881,0,kth,0,226.9667456738312,4674.0,9.0,55.0,0.0,15108.0,0.1,12.8,12.8,0,tth,0,-12.8,256.992,257.0,0,x,0,257.0
1638656994.068058,0.004167769251124636,63.775142381790005,63.77239670795882,0,kth,0,226.9167456738312,4736.0,8.0,63.0,0.0,15116.0,0.1,12.9,12.9,0,tth,0,-12.9,251.971,251.97222222222229,0,x,0,251.97222222222229
