time,TEYcalc,TEY,mesh,scaler_time,mono_energy_setpoint,mono_energy
1638517257.015032,1.5399199150118492,207284.0,134607.0,1.0,534.8000000000011,534.8051128
1638517261.0145307,1.5525810095201773,211682.0,136342.0,1.0,534.9000000000011,534.8985418
1638517265.015797,1.5645762613514376,215705.0,137868.0,1.0,535.0,535.0053851
1638517269.0174484,1.6053840916827413,226372.0,141008.0,1.0,535.25,535.2646654
1638517273.0233102,1.6569714432867713,238072.0,143679.0,1.0,535.5,535.5027455
1638517277.0223157,1.7359357685273942,255344.0,147093.0,1.0,535.75,535.7475617
1638517281.025161,1.8044650088291134,271821.0,150638.0,1.0,536.0,535.9801879
1638517285.231497,1.8364827379634574,282036.0,153574.0,1.0,536.25,536.2591967
1638517289.2307599,1.8536002562459961,289347.0,156100.0,1.0,536.5,536.5119123
1638517293.2303083,1.8768151411323217,299078.0,159354.0,1.0,536.75,536.7492549
1638517297.2307117,1.9100652890233596,311864.0,163274.0,1.0,537.0,536.9933735
1638517301.2323747,1.9489321634410666,324963.0,166739.0,1.0,537.25,537.2487409
1638517305.2347996,1.9829398414242343,336376.0,169635.0,1.0,537.5,537.5017573
1638517309.2368467,2.014249192758303,347460.0,172501.0,1.0,537.75,537.7474321
1638517313.2383475,2.0435634455499523,359847.0,176088.0,1.0,538.0,537.9871433
1638517317.2467103,2.074738234987289,377870.0,182129.0,1.0,538.5,538.5109518
1638517321.242862,2.095591924756323,392584.0,187338.0,1.0,539.0,539.0158036
1638517325.2452006,2.117574001241979,409200.0,193240.0,1.0,539.5,539.4769312
1638517329.2474394,2.128921911954282,419470.0,197034.0,1.0,540.0,540.0215181
1638517333.2507887,2.124136238908807,424207.0,199708.0,1.0,540.5,540.4830088
1638517337.25165,2.1112572553122586,423761.0,200715.0,1.0,541.0,541.014594
1638517341.453794,2.0923304953637625,419257.0,200378.0,1.0,541.5,541.4944118
1638517345.4555724,2.0763898314457063,413050.0,198927.0,1.0,542.0,542.0118463
1638517349.4590135,2.062028456879117,404770.0,196297.0,1.0,542.5,542.4890371
1638517353.4618216,2.0511140711409186,395744.0,192941.0,1.0,543.0,543.0086521
1638517357.4615524,2.0394827312635533,385605.0,189070.0,1.0,543.5,543.5132158
1638517361.464292,2.0242693863771257,371751.0,183647.0,1.0,544.0,543.9836772
1638517365.466923,2.0141818935713607,359465.0,178467.0,1.0,544.5,544.5199935
1638517369.4674778,2.0018244464199597,344528.0,172107.0,1.0,545.0,544.9791744
1638517373.4737248,1.9940514934548348,330861.0,165924.0,1.0,545.5,545.5153839
1638517377.4718628,1.9857727686242799,314324.0,158288.0,1.0,546.0,545.9906549
1638517381.4746253,1.9800120857156138,298172.0,150591.0,1.0,546.5,546.51792
1638517385.4782,1.9729650081743486,281185.0,142519.0,1.0,547.0,546.9850021
1638517389.4817872,1.971230940870212,265032.0,134450.0,1.0,547.5,547.5105489
1638517393.4831934,1.9677249632881273,250576.0,127343.0,1.0,548.0,548.0115565
1638517397.6867127,1.9643655756102911,232795.0,118509.0,1.0,548.5,548.4822085
1638517401.6849766,1.9611015243025596,218200.0,111264.0,1.0,549.0,549.0274184
1638517405.686025,1.9534515423852319,201059.0,102925.0,1.0,549.5,549.4854769
1638517409.6911616,1.9493523018836438,186900.0,95878.0,1.0,550.0,550.0147944
1638517413.695076,1.9448533163988524,171503.0,88183.0,1.0,550.5,550.5021561
1638517417.7019296,1.9420683524298696,157292.0,80992.0,1.0,551.0,551.0089413
1638517421.699268,1.9391621129326047,143721.0,74115.0,1.0,551.5,551.4941643
1638517425.7075102,1.936668210130099,129658.0,66949.0,1.0,552.0,552.0015445
1638517429.706729,1.9388381201044387,118812.0,61280.0,1.0,552.5,552.5305991
