time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638557771.775326,9.0,9.0,0,tth,0,-9.0,61.819142381790016,61.82239670795883,0,kth,0,228.8667456738312,72193.0,10.0,262.0,0.0,21033.0,0.1
1638557772.808616,9.1,9.100000000000001,0,tth,0,-9.100000000000001,61.87414238179002,61.87239670795881,0,kth,0,228.8167456738312,72192.0,10.0,252.0,0.0,21036.0,0.1
1638557773.762521,9.200000000000001,9.2,0,tth,0,-9.2,61.920142381790015,61.922396707958825,0,kth,0,228.7667456738312,72192.0,10.0,224.0,0.0,21052.0,0.1
1638557774.7938817,9.3,9.3,0,tth,0,-9.3,61.970142381790026,61.97239670795881,0,kth,0,228.7167456738312,72192.0,10.0,207.0,0.0,21013.0,0.1
1638557776.5561,9.4,9.4,0,tth,0,-9.4,62.02614238179001,62.02239670795882,0,kth,0,228.6667456738312,72191.0,9.0,204.0,0.0,21001.0,0.1
1638557777.8461134,9.5,9.5,0,tth,0,-9.5,62.06814238179001,62.07239670795883,0,kth,0,228.6167456738312,72192.0,10.0,181.0,0.0,20981.0,0.1
1638557778.8471425,9.6,9.600000000000001,0,tth,0,-9.600000000000001,62.120142381790004,62.12239670795881,0,kth,0,228.5667456738312,72192.0,10.0,179.0,0.0,21010.0,0.1
1638557779.8055584,9.700000000000001,9.7,0,tth,0,-9.7,62.16914238179001,62.172396707958825,0,kth,0,228.5167456738312,72192.0,10.0,177.0,0.0,21017.0,0.1
1638557780.9559517,9.8,9.8,0,tth,0,-9.8,62.21814238179002,62.22239670795881,0,kth,0,228.4667456738312,72192.0,10.0,173.0,0.0,20994.0,0.1
1638557781.8987713,9.9,9.9,0,tth,0,-9.9,62.27014238179001,62.27239670795882,0,kth,0,228.4167456738312,72192.0,10.0,174.0,0.0,20968.0,0.1
1638557782.8767889,10.0,10.0,0,tth,0,-10.0,62.325142381790016,62.32239670795883,0,kth,0,228.3667456738312,72191.0,10.0,184.0,0.0,20978.0,0.1
1638557783.810351,10.1,10.1,0,tth,0,-10.1,62.37714238179001,62.37239670795881,0,kth,0,228.3167456738312,72193.0,10.0,186.0,0.0,20977.0,0.1
1638557784.792196,10.200000000000001,10.200000000000001,0,tth,0,-10.200000000000001,62.420142381790015,62.422396707958825,0,kth,0,228.2667456738312,72192.0,9.0,179.0,0.0,21014.0,0.1
1638557785.838574,10.3,10.3,0,tth,0,-10.3,62.46914238179002,62.47239670795881,0,kth,0,228.2167456738312,72193.0,10.0,179.0,0.0,20999.0,0.1
1638557786.807154,10.4,10.4,0,tth,0,-10.4,62.527142381790014,62.52239670795882,0,kth,0,228.1667456738312,72193.0,10.0,188.0,0.0,21013.0,0.1
1638557787.9220984,10.5,10.5,0,tth,0,-10.5,62.569142381790016,62.57239670795883,0,kth,0,228.1167456738312,72193.0,10.0,180.0,0.0,21003.0,0.1
1638557789.771497,10.6,10.6,0,tth,0,-10.6,62.626142381790004,62.62239670795881,0,kth,0,228.0667456738312,72165.0,11.0,186.0,0.0,20978.0,0.1
1638557791.0801427,10.700000000000001,10.700000000000001,0,tth,0,-10.700000000000001,62.67114238179002,62.672396707958825,0,kth,0,228.0167456738312,72193.0,10.0,180.0,0.0,21000.0,0.1
1638557792.6369252,10.8,10.8,0,tth,0,-10.8,62.72714238179,62.72239670795881,0,kth,0,227.9667456738312,72142.0,10.0,181.0,0.0,20990.0,0.1
1638557793.813045,10.9,10.9,0,tth,0,-10.9,62.77014238179001,62.77239670795882,0,kth,0,227.9167456738312,72186.0,10.0,175.0,0.0,21009.0,0.1
1638557794.7937427,11.0,11.0,0,tth,0,-11.0,62.82414238179001,62.82239670795883,0,kth,0,227.8667456738312,72123.0,9.0,170.0,0.0,20998.0,0.1
1638557795.9814782,11.1,11.1,0,tth,0,-11.1,62.86814238179002,62.87239670795881,0,kth,0,227.8167456738312,71721.0,10.0,162.0,0.0,20992.0,0.1
