time,kappa_motors_m2,kappa_motors_m2_user_setpoint,kappa_motors_m2_sync,kappa_motors_m2_desc,kappa_motors_m2_homf,kappa_motors_m2_dval,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval,TEY,D3,D4,MCP,mesh,scaler_time
1638738979.7830987,-1427.636,-1427.6612903225807,0,x,0,-1427.6612903225807,0.01634877384196185,70.22314238179001,70.22709960277629,0,kth,0,220.46204277901373,25.5,25.5,0,tth,0,-25.5,16874.0,10.0,180.0,0.0,11010.0,0.1
1638738981.0130777,-1432.634,-1432.6774193548388,0,x,0,-1432.6774193548388,0.016430646332607116,70.27914238179002,70.27709960277627,0,kth,0,220.41204277901375,25.6,25.6,0,tth,0,-25.6,16737.0,9.0,181.0,0.0,11016.0,0.1
1638738982.2274098,-1437.6870000000001,-1437.6935483870968,0,x,0,-1437.6935483870968,0.016537937301226716,70.32314238179,70.32709960277629,0,kth,0,220.36204277901373,25.7,25.7,0,tth,0,-25.7,16787.0,10.0,182.0,0.0,11005.0,0.1
1638738983.4094002,-1442.756,-1442.7096774193549,0,x,0,-1442.7096774193549,0.016083598364379826,70.37414238179002,70.3770996027763,0,kth,0,220.31204277901372,25.8,25.8,0,tth,0,-25.8,16709.0,10.0,177.0,0.0,11005.0,0.1
1638738984.6309938,-1447.714,-1447.725806451613,0,x,0,-1447.725806451613,0.016254994551398474,70.42414238179,70.42709960277631,0,kth,0,220.2620427790137,25.900000000000002,25.900000000000002,0,tth,0,-25.900000000000002,16728.0,9.0,179.0,0.0,11012.0,0.1
1638738985.8542817,-1452.737,-1452.7419354838712,0,x,0,-1452.7419354838712,0.01597676107480029,70.48114238179002,70.47709960277629,0,kth,0,220.21204277901373,26.0,26.0,0,tth,0,-26.0,16582.0,10.0,176.0,0.0,11016.0,0.1
1638738987.074407,-1457.683,-1457.7580645161293,0,x,0,-1457.7580645161293,0.015276893698281349,70.52214238179002,70.52709960277627,0,kth,0,220.16204277901375,26.1,26.1,0,tth,0,-26.1,16451.0,10.0,168.0,0.0,10997.0,0.1
1638738988.297949,-1462.762,-1462.7741935483873,0,x,0,-1462.7741935483873,0.015366430260047281,70.57814238179,70.57709960277629,0,kth,0,220.11204277901373,26.2,26.2,0,tth,0,-26.2,16400.0,10.0,169.0,0.0,10998.0,0.1
1638738989.581249,-1467.788,-1467.7903225806454,0,x,0,-1467.7903225806454,0.015088165788038538,70.62514238179003,70.6270996027763,0,kth,0,220.06204277901372,26.3,26.3,0,tth,0,-26.3,16402.0,10.0,166.0,0.0,11002.0,0.1
1638738990.7860138,-1472.781,-1472.8064516129034,0,x,0,-1472.8064516129034,0.014374090247452693,70.67714238179002,70.67709960277631,0,kth,0,220.0120427790137,26.400000000000002,26.400000000000002,0,tth,0,-26.400000000000002,16269.0,10.0,158.0,0.0,10992.0,0.1
1638738992.0337012,-1477.824,-1477.8225806451615,0,x,0,-1477.8225806451615,0.014014014014014014,70.72614238179003,70.72709960277629,0,kth,0,219.96204277901373,26.5,26.5,0,tth,0,-26.5,16253.0,10.0,154.0,0.0,10989.0,0.1
1638738993.2143152,-1482.763,-1482.8387096774195,0,x,0,-1482.8387096774195,0.013636363636363636,70.77614238179001,70.77709960277627,0,kth,0,219.91204277901375,26.6,26.6,0,tth,0,-26.6,16141.0,9.0,150.0,0.0,11000.0,0.1
1638738994.4214878,-1487.816,-1487.8548387096776,0,x,0,-1487.8548387096776,0.013563950842057351,70.82614238179002,70.82709960277629,0,kth,0,219.86204277901373,26.7,26.7,0,tth,0,-26.7,16131.0,10.0,149.0,0.0,10985.0,0.1
