time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638577229.7402875,0.7709634255129348,71.27314238179002,71.27239670795882,0,kth,0,219.4167456738312,4051.0,10.0,13828.0,0.0,17936.0,0.1,27.900000000000002,27.9,0,tth,0,-27.9
1638577230.3954306,0.7666796722590714,71.32714238179003,71.32239670795883,0,kth,0,219.3667456738312,3946.0,10.0,13755.0,0.0,17941.0,0.1,28.0,28.0,0,tth,0,-28.0
1638577231.0490618,0.7573701190343753,71.37714238179001,71.37239670795881,0,kth,0,219.3167456738312,3979.0,9.0,13616.0,0.0,17978.0,0.1,28.1,28.1,0,tth,0,-28.1
1638577231.6883814,0.7492487479131886,71.42414238179,71.4223967079588,0,kth,0,219.26674567383122,3991.0,10.0,13464.0,0.0,17970.0,0.1,28.2,28.2,0,tth,0,-28.2
1638577232.3366966,0.7337788916736285,71.46914238179002,71.47239670795881,0,kth,0,219.2167456738312,3851.0,10.0,13175.0,0.0,17955.0,0.1,28.3,28.3,0,tth,0,-28.3
1638577233.0623152,0.7358805837139356,71.52714238179001,71.52239670795882,0,kth,0,219.1667456738312,3944.0,9.0,13212.0,0.0,17954.0,0.1,28.400000000000002,28.4,0,tth,0,-28.4
1638577233.7495294,0.7296966323406624,71.57614238179002,71.57239670795883,0,kth,0,219.1167456738312,3836.0,10.0,13109.0,0.0,17965.0,0.1,28.5,28.5,0,tth,0,-28.5
1638577234.3851418,0.7311612364243943,71.62114238179001,71.62239670795881,0,kth,0,219.0667456738312,3830.0,10.0,13128.0,0.0,17955.0,0.1,28.6,28.6,0,tth,0,-28.6
1638577235.0806434,0.7259754738015608,71.67314238179003,71.6723967079588,0,kth,0,219.01674567383122,3891.0,9.0,13024.0,0.0,17940.0,0.1,28.7,28.7,0,tth,0,-28.7
1638577235.7884471,0.7178388604495882,71.72514238179002,71.72239670795881,0,kth,0,218.9667456738312,3842.0,10.0,12901.0,0.0,17972.0,0.1,28.8,28.8,0,tth,0,-28.8
1638577236.4781885,0.7198016492088255,71.77214238179002,71.77239670795882,0,kth,0,218.9167456738312,3831.0,9.0,12919.0,0.0,17948.0,0.1,28.900000000000002,28.9,0,tth,0,-28.9
1638577237.1964965,0.7173404610758436,71.82714238179003,71.82239670795883,0,kth,0,218.8667456738312,3875.0,10.0,12882.0,0.0,17958.0,0.1,29.0,29.0,0,tth,0,-29.0
1638577237.8379204,0.7060690423162583,71.87014238179,71.87239670795881,0,kth,0,218.8167456738312,3837.0,10.0,12681.0,0.0,17960.0,0.1,29.1,29.1,0,tth,0,-29.1
1638577239.0833964,0.687531324831542,71.91814238179,71.9223967079588,0,kth,0,218.76674567383122,3830.0,9.0,12346.0,0.0,17957.0,0.1,29.2,29.2,0,tth,0,-29.2
1638577240.0650916,0.6754302902021946,71.96814238179002,71.97239670795881,0,kth,0,218.7167456738312,3757.0,9.0,12126.0,0.0,17953.0,0.1,29.3,29.3,0,tth,0,-29.3
1638577240.7394884,0.6801249163506581,72.01914238179,72.02239670795882,0,kth,0,218.6667456738312,3844.0,10.0,12196.0,0.0,17932.0,0.1,29.400000000000002,29.4,0,tth,0,-29.4
1638577241.3986588,0.6714158504007124,72.06814238179001,72.07239670795883,0,kth,0,218.6167456738312,3812.0,11.0,12064.0,0.0,17968.0,0.1,29.5,29.5,0,tth,0,-29.5
